order_id,order_date,customer_id,status,quantity,unit_price,currency,total_amount
1,2025-10-05,C0001,,2,50,USD,
2,2025-10-05,C0002,,2,50,USD,
3,2025-10-05,C0003,,2,50,USD,
4,2025-10-05,C0004,,2,50,USD,
5,2025-10-05,C0005,closed,2,50,USD,
6,2025-10-05,C0006,,2,50,USD,
7,2025-10-05,C0007,,2,50,USD,
8,2025-10-05,C0008,,2,50,USD,
9,2025-10-05,C0009,,2,50,USD,
10,2025-10-05,C0010,,2,50,USD,
11,2025-10-05,C0011,,2,50,USD,
12,2025-10-05,C0012,,2,50,USD,
13,2025-10-05,C0013,,2,50,USD,
14,2025-10-05,C0014,closed,2,50,USD,
15,2025-10-05,C0015,,2,50,USD,
16,2025-10-05,C0016,,2,50,USD,
17,2025-10-05,C0017,,2,50,USD,
18,2025-10-05,C0018,,2,50,USD,
19,2025-10-05,C0019,closed,2,50,USD,
20,2025-10-05,C0020,,2,50,USD,
21,2025-10-05,C0021,,2,50,USD,
22,2025-10-05,C0022,,2,50,USD,
23,2025-10-05,C0023,,2,50,USD,
24,2025-10-05,C0024,,2,50,USD,
25,2025-10-05,C0025,,2,50,USD,
26,2025-10-05,C0026,,2,50,USD,
27,2025-10-05,C0027,,2,50,USD,
28,2025-10-05,C0028,,2,50,USD,
29,2025-10-05,C0029,,2,50,USD,
30,2025-10-05,C0030,,2,50,USD,
31,2025-10-05,C0031,,2,50,USD,
32,2025-10-05,C0032,,2,50,USD,
33,2025-10-05,C0033,,2,50,USD,
34,2025-10-05,C0034,,2,50,USD,
35,2025-10-05,C0035,,2,50,USD,
36,2025-10-05,C0036,,2,50,USD,
37,2025-10-05,C0037,,2,50,USD,
38,2025-10-05,C0038,,2,50,USD,
39,2025-10-05,C0039,,2,50,USD,
40,2025-10-05,C0040,,2,50,USD,
41,2025-10-05,C0041,,2,50,USD,
42,2025-10-05,C0042,,2,50,USD,
43,2025-10-05,C0043,,2,50,USD,
44,2025-10-05,C0044,,2,50,USD,
45,2025-10-05,C0045,,2,50,USD,
46,2025-10-05,C0046,,2,50,USD,
47,2025-10-05,C0047,,2,50,USD,
48,2025-10-05,C0048,,2,50,USD,
49,2025-10-05,C0049,,2,50,USD,
50,2025-10-05,C0050,,2,50,USD,
51,2025-10-05,C0051,,2,50,USD,
52,2025-10-05,C0052,,2,50,USD,
53,2025-10-05,C0053,,2,50,USD,
54,2025-10-05,C0054,,2,50,USD,
55,2025-10-05,C0055,,2,50,USD,
56,2025-10-05,C0056,,2,50,USD,
57,2025-10-05,C0057,,2,50,USD,
58,2025-10-05,C0058,,2,50,USD,
59,2025-10-05,C0059,,2,50,USD,
60,2025-10-05,C0060,,2,50,USD,
61,2025-10-05,C0061,,2,50,USD,
62,2025-10-05,C0062,,2,50,USD,
63,2025-10-05,C0063,,2,50,USD,
64,2025-10-05,C0064,,2,50,USD,
65,2025-10-05,C0065,closed,2,50,USD,
66,2025-10-05,C0066,,2,50,USD,
67,2025-10-05,C0067,,2,50,USD,
68,2025-10-05,C0068,,2,50,USD,
69,2025-10-05,C0069,,2,50,USD,
70,2025-10-05,C0070,open,2,50,USD,
71,2025-10-05,C0071,,2,50,USD,
72,2025-10-05,C0072,closed,2,50,USD,
73,2025-10-05,C0073,,2,50,USD,
74,2025-10-05,C0074,,2,50,USD,
75,2025-10-05,C0075,,2,50,USD,
76,2025-10-05,C0076,,2,50,USD,
77,2025-10-05,C0077,closed,2,50,USD,
78,2025-10-05,C0078,,2,50,USD,
79,2025-10-05,C0079,,2,50,USD,
80,2025-10-05,C0080,,2,50,USD,
