order_id,order_date,customer_id,status,quantity,unit_price,currency,total_amount
1,2020-04-15,C1055,open,7,10.25,USD,90.76
2,2020-04-16,C1746,pending,3,29.6,USD,102.41
3,2020-04-17,C1801,open,7,45.61,USD,379.43
4,2020-04-18,C1015,open,8,20.48,USD,164.31
5,2020-04-19,C1199,,6,37.99,USD,270.74
6,2020-04-20,C1306,,9,34.64,USD,284.09
7,2020-04-21,C1064,,6,46.92,USD,295.63
8,2020-04-22,C1652,closed,9,41.94,USD,434.34
9,2020-04-23,C1757,open,4,30.5,USD,116.93
10,2020-04-24,C1535,open,8,34.57,USD,339.95
11,2020-04-25,C1858,,4,45.43,USD,180.63
12,2020-04-26,C1197,pending,2,22.98,USD,53.36
13,2020-04-27,C1502,closed,9,19.71,USD,188.4
14,2020-04-28,C1581,,5,5.49,USD,31.25
15,2020-04-29,C1233,,4,42.19,USD,159.14
16,2020-04-30,C1930,,2,41.04,USD,74.43
17,2020-05-01,C1100,,1,9.7,USD,12.26
18,2020-05-02,C1263,open,7,30.96,USD,218.42
19,2020-05-03,C1950,open,6,25.88,USD,190.66
20,2020-05-04,C1723,,2,10.34,USD,26.88
21,2020-05-05,C1768,open,8,49.13,USD,386.98
22,2020-05-06,C1892,,4,14.66,USD,59.0
23,2020-05-07,C1015,,8,8.03,USD,74.85
24,2020-05-08,C1178,open,7,31.77,USD,286.03
25,2020-05-09,C1296,open,5,38.25,USD,242.18
26,2020-05-10,C1198,closed,8,6.46,USD,56.91
27,2020-05-11,C1614,,9,34.64,USD,379.74
28,2020-05-12,C1622,open,5,28.95,USD,138.13
29,2020-05-13,C1589,open,5,9.65,USD,62.29
30,2020-05-14,C1159,,2,12.76,USD,32.81
31,2020-05-15,C1261,open,5,30.56,USD,147.53
32,2020-05-16,C1438,,3,18.34,USD,56.11
33,2020-05-17,C1094,,7,47.22,USD,310.73
34,2020-05-18,C1273,closed,5,41.84,USD,211.02
35,2020-05-19,C1179,pending,8,49.26,USD,483.29
36,2020-05-20,C1993,closed,1,16.69,USD,17.55
37,2020-05-21,C1180,,3,48.64,USD,136.49
38,2020-05-22,C1418,,3,24.41,USD,75.93
39,2020-05-23,C1637,open,9,20.64,USD,240.1
40,2020-05-24,C1938,open,5,7.27,USD,41.87
41,2020-05-25,C1335,,9,7.37,USD,70.74
42,2020-05-26,C1266,open,9,36.14,USD,314.4
43,2020-05-27,C1669,,1,25.61,USD,33.15
44,2020-05-28,C1653,closed,2,15.19,USD,37.32
45,2020-05-29,C1336,,5,32.63,USD,165.2
46,2020-05-30,C1855,open,4,16.38,USD,60.8
47,2020-05-31,C1222,,9,30.99,USD,257.34
48,2020-06-01,C1782,open,7,21.16,USD,140.44
49,2020-06-02,C1905,open,6,42.06,USD,285.75
50,2020-06-03,C1341,,7,41.93,USD,373.2
51,2020-06-04,C1160,pending,1,26.48,USD,29.09
52,2020-06-05,C1115,closed,1,20.79,USD,25.72
53,2020-06-06,C1059,closed,8,21.32,USD,183.92
54,2020-06-07,C1111,closed,2,41.26,USD,97.66
55,2020-06-08,C1491,open,9,19.77,USD,212.23
56,2020-06-09,C1392,closed,7,14.41,USD,97.8
57,2020-06-10,C1264,,6,8.81,USD,55.21
58,2020-06-11,C1659,,1,26.0,USD,30.03
59,2020-06-12,C1507,,1,26.7,USD,24.79
60,2020-06-13,C1392,,2,42.84,USD,89.5
61,2020-06-14,C1000,open,6,14.96,USD,99.99
62,2020-06-15,C1029,,6,22.14,USD,172.49
63,2020-06-16,C1966,closed,2,41.38,USD,90.19
64,2020-06-17,C1281,open,1,42.06,USD,51.58
65,2020-06-18,C1574,,5,22.31,USD,119.67
66,2020-06-19,C1759,open,5,25.66,USD,156.34
67,2020-06-20,C1782,,2,18.65,USD,42.45
68,2020-06-21,C1025,closed,6,46.96,USD,353.51
69,2020-06-22,C1641,,9,10.34,USD,99.05
70,2020-06-23,C1434,pending,2,47.02,USD,107.37
71,2020-06-24,C1517,closed,2,35.77,USD,82.41
72,2020-06-25,C1764,,3,28.92,USD,92.57
73,2020-06-26,C1347,,7,6.47,USD,43.38
74,2020-06-27,C1801,closed,6,26.4,USD,148.49
75,2020-06-28,C1520,open,8,23.35,USD,169.37
76,2020-06-29,C1489,open,8,12.25,USD,122.44
77,2020-06-30,C1975,closed,6,34.54,USD,206.12
78,2020-07-01,C1633,,3,48.7,USD,143.85
79,2020-07-02,C1411,open,3,30.3,USD,108.57
80,2020-07-03,C1480,,1,37.16,USD,38.2
81,2020-07-04,C1399,closed,7,8.08,USD,62.35
82,2020-07-05,C1406,open,5,23.8,USD,114.84
83,2020-07-06,C1865,,4,10.24,USD,52.59
84,2020-07-07,C1282,,4,32.58,USD,161.68
85,2020-07-08,C1513,,4,47.23,USD,235.3
86,2020-07-09,C1607,,6,34.78,USD,221.77
87,2020-07-10,C1408,open,8,8.46,USD,81.55
88,2020-07-11,C1674,open,8,20.96,USD,160.56
89,2020-07-12,C1223,closed,5,29.78,USD,134.52
90,2020-07-13,C1677,open,6,23.14,USD,126.07
91,2020-07-14,C1273,,4,42.51,USD,192.93
92,2020-07-15,C1218,open,9,41.66,USD,405.74
93,2020-07-16,C1321,closed,8,32.53,USD,288.14
94,2020-07-17,C1113,open,1,21.81,USD,19.69
95,2020-07-18,C1576,closed,2,16.49,USD,35.26
96,2020-07-19,C1904,open,9,9.76,USD,104.29
97,2020-07-20,C1324,open,8,20.97,USD,180.69
98,2020-07-21,C1298,open,3,23.59,USD,84.42
99,2020-07-22,C1681,,8,35.41,USD,281.36
100,2020-07-23,C1048,,1,34.62,USD,42.42
101,2020-07-24,C1164,,4,8.15,USD,37.01
102,2020-07-25,C1315,open,3,22.79,USD,67.3
103,2020-07-26,C1783,,6,13.18,USD,78.66
