order_id,order_date,customer_id,status,quantity,unit_price,currency,total_amount
1,2020-04-15,C1904,,6,20.76,USD,184.72
2,2020-04-16,C1445,,3,21.19,USD,100.38
3,2020-04-17,C1675,,8,57.78,USD,701.32
4,2020-04-18,C1185,open,9,39.1,USD,554.0
5,2020-04-19,C1625,closed,3,35.72,USD,158.73
6,2020-04-20,C1278,pending,6,15.78,USD,133.43
7,2020-04-21,C1356,closed,4,43.76,USD,269.58
8,2020-04-22,C1043,closed,2,51.39,USD,156.41
9,2020-04-23,C1688,,8,50.51,USD,579.71
10,2020-04-24,C1684,open,4,49.59,USD,309.71
11,2020-04-25,C1690,,4,59.0,USD,330.74
12,2020-04-26,C1863,,6,33.31,USD,296.81
13,2020-04-27,C1650,open,6,18.09,USD,153.99
14,2020-04-28,C1592,,8,53.58,USD,619.2
15,2020-04-29,C1557,pending,2,15.8,USD,48.17
16,2020-04-30,C1820,open,5,55.99,USD,433.18
17,2020-05-01,C1352,open,6,37.4,USD,332.56
18,2020-05-02,C1558,open,2,54.4,USD,169.39
19,2020-05-03,C1406,,3,20.26,USD,87.68
20,2020-05-04,C1464,,3,43.4,USD,189.44
21,2020-05-05,C1604,,2,51.71,USD,144.84
22,2020-05-06,C1062,,4,41.87,USD,242.31
23,2020-05-07,C1590,,5,30.65,USD,222.57
24,2020-05-08,C1556,,5,20.12,USD,153.22
25,2020-05-09,C1556,open,8,58.17,USD,686.05
26,2020-05-10,C1025,closed,5,38.16,USD,279.32
27,2020-05-11,C1503,open,1,59.21,USD,89.72
28,2020-05-12,C1625,,1,36.03,USD,56.37
29,2020-05-13,C1235,,7,24.59,USD,250.99
30,2020-05-14,C1268,closed,7,42.51,USD,417.73
31,2020-05-15,C1756,,4,42.12,USD,259.64
32,2020-05-16,C1288,open,9,23.63,USD,337.86
33,2020-05-17,C1585,open,5,42.98,USD,334.2
34,2020-05-18,C1882,open,9,20.76,USD,295.69
35,2020-05-19,C1027,open,4,50.03,USD,300.29
36,2020-05-20,C1157,,2,35.57,USD,108.41
37,2020-05-21,C1869,open,3,27.51,USD,125.62
38,2020-05-22,C1403,closed,4,55.89,USD,347.73
39,2020-05-23,C1501,closed,7,23.53,USD,260.34
40,2020-05-24,C1129,,3,35.6,USD,151.88
41,2020-05-25,C1981,,5,36.67,USD,263.31
42,2020-05-26,C1328,open,9,32.87,USD,471.83
43,2020-05-27,C1753,closed,8,36.03,USD,419.35
44,2020-05-28,C1089,open,9,34.22,USD,460.32
45,2020-05-29,C1115,closed,6,15.32,USD,131.04
46,2020-05-30,C1548,,7,54.29,USD,546.23
47,2020-05-31,C1160,open,8,34.94,USD,447.06
48,2020-06-01,C1723,open,7,57.09,USD,612.6
49,2020-06-02,C1825,open,7,49.18,USD,487.08
50,2020-06-03,C1748,closed,9,26.89,USD,356.58
51,2020-06-04,C1333,,3,28.7,USD,122.13
52,2020-06-05,C1416,open,1,45.42,USD,66.8
53,2020-06-06,C1172,,5,43.9,USD,313.65
54,2020-06-07,C1039,,7,54.22,USD,547.02
55,2020-06-08,C1278,open,9,41.83,USD,597.14
56,2020-06-09,C1491,,8,52.11,USD,641.84
57,2020-06-10,C1450,open,6,45.83,USD,420.85
58,2020-06-11,C1914,pending,8,36.03,USD,439.65
59,2020-06-12,C1609,,8,36.47,USD,409.5
60,2020-06-13,C1280,,2,50.64,USD,145.4
61,2020-06-14,C1179,open,9,56.98,USD,726.53
62,2020-06-15,C1253,,1,46.15,USD,65.94
63,2020-06-16,C1445,open,2,57.98,USD,182.8
64,2020-06-17,C1560,,3,35.58,USD,164.76
65,2020-06-18,C1742,,1,37.11,USD,53.16
